brand,name,latitude,longitude,address,place_id,rating,user_ratings_total,geometry,index_right,population,city
Coach,COACH,34.1568421,-118.437143,"14006 Riverside Dr Suite 34, Sherman Oaks",ChIJyZA_mTOWwoARtGDGnIGXVFU,4.3,55.0,POINT (-118.437143 34.1568421),19,4030904.0,los angeles
Coach,Chad Weller High Performance Life Coach,34.0637096,-118.3648686,"6245 Wilshire Blvd, Los Angeles",ChIJh27VIVp5bIcRnDEHMYz6Eec,5.0,51.0,POINT (-118.3648686 34.0637096),19,4030904.0,los angeles
Coach,Business Confidence Life Coach in Los Angeles,34.06103969999999,-118.3804676,"8663 Chalmers Dr, Los Angeles",ChIJQzDFfw27woARwDOEZ96yLR0,5.0,104.0,POINT (-118.3804676 34.06103969999999),19,4030904.0,los angeles
Sip & Savor,Magnum Coffee Roastery Café & Store,36.0713714,-115.1347854,"1335 Sunset Rd, Las Vegas",ChIJM__q5X3FyIAR512gxsM2Pi4,4.6,296.0,POINT (-115.1347854 36.0713714),7,,las vegas
Sip & Savor,Sambalatte,36.1641925,-115.2896909,"750 S Rampart Blvd, Las Vegas",ChIJvVLtIIS_yIAR0DxDdnyE0DA,4.4,888.0,POINT (-115.2896909 36.1641925),7,,las vegas
Sip & Savor,Sip and Savor Kitchen,36.0719012,-115.2982384,"6415 S Fort Apache Rd #105, Las Vegas",ChIJUR6tQd-5yIARCH1J5QGX_Ds,4.9,110.0,POINT (-115.2982384 36.0719012),7,,las vegas
Krispy Kreme,Krispy Kreme,36.125266,-115.2457261,"7015 W Spring Mountain Rd, Las Vegas",ChIJZWelwM3AyIARlSOdUDBsjc0,4.2,980.0,POINT (-115.2457261 36.125266),7,,las vegas
Krispy Kreme,Krispy Kreme,36.2389028,-115.1599733,"1331 W Craig Rd, North Las Vegas",ChIJayFMQ8PpyIARdNV-m0GPka4,4.3,1499.0,POINT (-115.1599733 36.2389028),7,,las vegas
Krispy Kreme,Krispy Kreme,36.1375744,-115.1653051,"2880 S Las Vegas Blvd, Las Vegas",ChIJE2R_KQ3EyIAR75p45Onwsso,4.0,520.0,POINT (-115.1653051 36.1375744),7,,las vegas
Krispy Kreme,Krispy Kreme,36.098809,-115.1752188,"3850 Las Vegas Blvd S, Las Vegas",ChIJmx1Uvc3FyIARdp6ftqC7Gd8,3.9,509.0,POINT (-115.1752188 36.098809),7,,las vegas
